"","inf","sup","N_H0_RSF"
"1",-1.05142257253389,1.13274103901962,5
"2",-1.02613764150621,1.23340982143015,5
"3",-1.1075436548082,1.22504416126014,5
"4",-1.22491845188635,1.21667850109014,5
"5",-1.19814812839847,1.36817042543198,5
"6",-1.65869870756043,1.33076342052704,5
"7",-1.5077655137331,1.29335641562209,5
"8",-1.35683231990577,1.482114991241,5
"9",-1.67733615348225,1.45723623791202,5
"10",-1.65656042794106,1.53258349719078,5
"11",-1.84005902006815,1.69300210298345,20
"12",-1.80508165634672,2.13498915597712,20
"13",-1.79866114223097,2.08983343915349,20
"14",-1.8567909392427,1.99229597330546,20
"15",-1.84005902006815,2.08983343915349,20
"16",-1.9659294470043,2.03231030787801,20
"17",-1.90037516046685,2.08983343915349,20
"18",-1.8567909392427,2.08087579737622,20
"19",-1.84005902006815,2.09418121895104,20
"20",-1.91597446723761,2.10999154426116,20
"21",-1.88642433742021,2.07575386109373,50
"22",-1.93178116232257,2.16508476442093,50
"23",-1.93104450342707,2.11806126659814,50
"24",-1.92467576744389,2.1167326365218,50
"25",-1.88642433742021,2.11212912097909,50
"26",-1.87589860668261,2.09180438331529,50
"27",-1.91924047424124,2.11806126659814,50
"28",-1.91614328119049,2.15486488628923,50
"29",-1.88642433742021,2.13612598694342,50
"30",-1.90987227772672,2.16431889057346,50
"31",-1.91614328119049,2.15486488628923,100
"32",-1.90418599113516,2.11590251623533,100
"33",-1.89511322225135,2.11387482050471,100
"34",-1.89818977561784,2.08607257088894,100
"35",-1.86108717926889,2.15098854870178,100
"36",-1.85923399870733,2.17252041881685,100
"37",-1.89815869989308,2.15708705898807,100
"38",-1.89691904459145,2.16110473689616,100
"39",-1.89511322225135,2.15708705898807,100
"40",-1.89691904459145,2.15594007160722,100
"41",-1.89691904459145,2.15594007160722,200
"42",-1.87180458335329,2.17252041881685,200
"43",-1.89261541797536,2.17830979709749,200
"44",-1.89261541797536,2.17252041881685,200
"45",-1.89261541797536,2.15594007160723,200
"46",-1.88349981149163,2.15594007160723,200
"47",-1.87095829672718,2.14166998265241,200
"48",-1.87833214201665,2.13004781508117,200
"49",-1.89691904459145,2.1457756034493,200
"50",-1.89691904459145,2.15594007160723,200
"51",-1.89511322225135,2.1197734293983,300
"52",-1.90418599113516,2.11590251623533,300
"53",-1.90830906549234,2.1167326365218,300
"54",-1.9089697271801,2.11038342145346,300
"55",-1.93074674988855,2.1045499252535,300
"56",-1.92409263221388,2.11590251623533,300
"57",-1.91808395754455,2.09620631054408,300
"58",-1.91033057107196,2.08954489648588,300
"59",-1.91226241358799,2.08756814316452,300
"60",-1.91612556820092,2.08745246642427,300
"61",-1.91612556820092,2.08745246642427,400
"62",-1.91365883833917,2.08528501973368,400
"63",-1.90871407995495,2.0860089486818,400
"64",-1.90644035144539,2.09744297567515,400
"65",-1.9089697271801,2.104504188524,400
"66",-1.90871407995495,2.10376645532947,400
"67",-1.90950764519151,2.09673942691673,400
"68",-1.90871407995495,2.10271994491753,400
"69",-1.90950764519151,2.10376645532947,400
"70",-1.90871407995495,2.10654439852828,400
"71",-1.90881234711169,2.10877806103098,500
"72",-1.9089697271801,2.10648438267248,500
"73",-1.91943574643476,2.10826708447884,500
"74",-1.92567448375929,2.10857489389827,500
"75",-1.9264946281771,2.10757430001755,500
"76",-1.92076921831307,2.10857489389827,500
"77",-1.91943574643476,2.10826708447884,500
"78",-1.9168033599637,2.10304241221501,500
"79",-1.91461719401003,2.09944466141321,500
"80",-1.91976179469095,2.10253288284459,500
"81",-1.92076921831307,2.10445529737513,600
"82",-1.91913218921826,2.10253288284459,600
"83",-1.9168033599637,2.09797646306087,600
"84",-1.91161837258016,2.09934739333967,600
"85",-1.90950764519151,2.09934739333967,600
"86",-1.91038817390389,2.09673942691673,600
"87",-1.90912950214965,2.09673942691673,600
"88",-1.90805640757855,2.0902712757124,600
"89",-1.90845103592231,2.09253653702293,600
"90",-1.90845103592231,2.09518230527833,600
"91",-1.90881234711169,2.09461574677447,700
"92",-1.91318599296719,2.0902712757124,700
"93",-1.91354134129789,2.08373046229884,700
"94",-1.91913218921826,2.08699892021931,700
"95",-1.91943574643476,2.08756814316452,700
"96",-1.9168033599637,2.08528501973368,700
"97",-1.91557078976618,2.086580158334,700
"98",-1.91660966506029,2.0902712757124,700
"99",-1.91642073402273,2.09461574677447,700
"100",-1.91318599296719,2.09460828986846,700
"101",-1.91038817390389,2.09934739333967,800
"102",-1.91210334726846,2.09934739333967,800
"103",-1.91210334726846,2.09708040833857,800
"104",-1.91245191704243,2.09708040833857,800
"105",-1.91210334726846,2.10251937487928,800
"106",-1.91038817390389,2.10401239718145,800
"107",-1.91133114984627,2.10471551893956,800
"108",-1.91433890371174,2.10759566454938,800
"109",-1.91376390684217,2.10735600231601,800
"110",-1.9168033599637,2.10851194913039,800
"111",-1.92015917527443,2.11403183772963,900
"112",-1.91990634866806,2.11397612887804,900
"113",-1.91998944288039,2.11386367632532,900
"114",-1.920215100493,2.11269581354859,900
"115",-1.92015917527443,2.11137075264502,900
"116",-1.92092064076166,2.11200139345412,900
"117",-1.92173979530316,2.11070376137335,900
"118",-1.92026895286664,2.10759566454938,900
"119",-1.91687738605342,2.10863217046331,900
"120",-1.91612983639861,2.11397612887804,900
"121",-1.91799425511838,2.11545804718004,1000
"122",-1.91549198956742,2.11538829572527,1000
"123",-1.91509219522932,2.11561693038164,1000
"124",-1.91660966506029,2.11529106853107,1000
"125",-1.91579047256543,2.11529106853107,1000
"126",-1.91660966506029,2.11545804718004,1000
"127",-1.91607657416472,2.11529106853107,1000
"128",-1.91433890371174,2.11624679894452,1000
"129",-1.91545060154846,2.11594409481116,1000
"130",-1.91433890371174,2.11561693038164,1000
